 Campana
 Canada
 Carballo
 Carlos Chapeaurouge
 Carlos Pellegrini
 Carmen de las Flores
 Carrasco
 Caseros
 Casildo Villar
 Castellamar
 Castelli
 Castilla y Leon
 Castro Barros
 Catalina Daprotis
 Cataluña
 Catamarca
Pasaje Catedral
 Catuogno
 Caupolican
 Cayetano Daglio
 Cayetano J Rodriguez
Pasaje Cbo Gabito Banat
 Cdad de Asuncion
 Cdad de Bragado
 Cdad de Dolores
 Cdad de Rosario
 Cdoro Pedro Luis Zanni
 Cedro Azul
 Ceferino Namuncura
Avenida Centenario
Diagonal Central
 Cerrito
Diagonal Cesar Gascon
 Chacabuco
 Chaco
 Chara
 Chile
 Chubut
 Ciancheta
 Ciudad de Oneglia
 Cmte Luis Piedrabuena
 Cmte Luis Piedrabuena
 Cnel Charlone
 Cnel de Marina Rosales
 Cnel Juan Pringles
 Cnel Luis Cabassa
 Cnel M Chilavert
Avenida Cnel M Martinez de Hoz
 Cnel Manuel Dorrego
 Cnel Manuel Suarez
 Cnel Olavarria
 Cnel Vidal
 Cohelo de Meyrelles
 Coliqueo
 Colombia
 Com Floral de Navarra
 Comodoro Py
 Comodoro Rivadavia
 Concepcion Arenal
Avenida Constitucion
 Conte Biancamano
 Conte Grand
 Copacabana
 Corbeta Uruguay
 Cordoba
 Corrientes
 Costa Atlantica
 Costa Azul
 Costa Pampeana
 Craig
 Cramer
Avenida Cristobal Colon
 Crucero Gral Belgrano
 Crucero la Argentina
 Cura Brochero
 D Frenguelli
 Dante Alighieri
 Dardo Rocha
 Darregueyra
Pasaje De Angeli
Avenida De las Olimpiadas
Avenida De los Deportes
Pasaje De los Incas
 De los Inmigrantes
 De los Reservistas
 Dean Funes
 Debussy
 Deffembach
Boulevard Del Bosque
 Del Bosque
 Del Lago
 Del Tejar
Diagonal Centro
Diagonal Norte
 Diagonal Norte
Diagonal Sur
 Diagonal Sur
 Diekmann
 Dip Abel Amaya
 Domingo F Sarmiento
 Domingo French
 Domingo Heguilor
 Domingo Matheu
 Domingo Sciocco
 Don Arturo Peralta Ramos
 Don Bosco
 Don Orione
 Donizetti
 Dr Arturo Jauretche
 Dr Bernardo Houssay
Avenida Dr Carlos Tejedor
Paseo Dr Celso Aldao
 Dr Eduardo Wilde
 Dr Enrique Finochietto
 Dr Enzo Bordabehere
 Dr G Martinez Zuviria
 Dr Jose Ingenieros
Avenida Dr Juan Bautista Justo
Avenida Dr Juan Hector Jara
Avenida Dr Juan Jose Paso
 Dr Luis Agote
 Dr Luis Pasteur
 Dr Manuel Belgrano
 Dr Manuel de Acevedo
 Dr Marcelo Fitte
 Dr Mariano Moreno
 Dr Nicolas Avellaneda
 Dr Osvaldo Magnasco
 Dr Pablo Groeber
 Dr Pedro Medrano
 Dr Ramon Carrillo
 Dr Tomas Godoy Cruz
 Dr V Alsina
 E Guanahani
Diagonal E Santos Discepolo
 Ecuador
 Eduardo Bradley
 Eduardo Carasa
 Eduardo Newbery
 Eduardo Perez Bulnes
 Eduardo Racedo
 Eduardo Romero
 El Benteveo
 El Carpintero
 El Chaja
 El Chingolo
 El Churrinche
 El Crucero
 El Gavioton
 El Gorrion
 El Hornero
 El Jilguero
 El Leñatero
 El Mixto
 El Navio
 El Pampero
 El Pirincho
 El Rebenque
 El Tero
 El Tordo
 Elisa Alvear de Bosch
Diagonal Elpidio Gonzalez
 Emilio Esquivel
 Entre Rios
 Escalada de San Martin
 Escollera Norte
 Escollera Sur
 España
 Esperanto
 Espigon Nro 2
 Est s Jose de Vivorata
 Estado de Israel
Diagonal Estados Unid N America
 Estanc L de los Padres
 Estancia Boqueron
 Estancia C Corrientes
 Estancia Chapadmalal
 Estancia Ituzaingo
 Estancia la Armonia
 Estancia la Colmen
 Estancia la Copelina
 Estancia la Corona
 Estancia la Peregrina
 Estancia la Reforma
 Estancia Ojo de Agua
 Estancia Vivorata
 Estanislao Lopez
 Estanislao Zeballos
 Esteban A Gascon
 Esteban Echeverria
 Evaristo Carriego
 F Bonnet
 F Chacahuach
 F Menghin
 F Spur
 Falucho
 Federico Brandsen
 Federico C Beltrami
 Felipe de Arana
 Felix de Olazabal
 Felix Mendelsohn
 Felix U Camet
Avenida Fermin Errea
 Ferrer
 Fgta Libertad
 Fgta Pte Sarmiento
